,Id2,Id,name,totalPop,under5yr,under18yr,over65yr
0,1001,0500000US01001,"Autauga County, Alabama",55601,3364,13163,8653
1,1003,0500000US01003,"Baldwin County, Alabama",218022,11955,47110,44571
2,1005,0500000US01005,"Barbour County, Alabama",24881,1284,5192,4832
3,1007,0500000US01007,"Bibb County, Alabama",22400,1285,4587,3690
4,1009,0500000US01009,"Blount County, Alabama",57840,3460,13392,10548
5,1011,0500000US01011,"Bullock County, Alabama",10138,600,2137,1661
6,1013,0500000US01013,"Butler County, Alabama",19680,1119,4378,3995
7,1015,0500000US01015,"Calhoun County, Alabama",114277,6580,24695,20247
8,1017,0500000US01017,"Chambers County, Alabama",33615,1929,6992,6562
9,1019,0500000US01019,"Cherokee County, Alabama",26032,1206,4990,5980
10,1021,0500000US01021,"Chilton County, Alabama",44153,2730,10491,7411
11,1023,0500000US01023,"Choctaw County, Alabama",12841,673,2567,2953
12,1025,0500000US01025,"Clarke County, Alabama",23920,1386,5195,4753
13,1027,0500000US01027,"Clay County, Alabama",13275,687,2688,2751
14,1029,0500000US01029,"Cleburne County, Alabama",14987,894,3412,2915
15,1031,0500000US01031,"Coffee County, Alabama",51909,3211,12280,8801
16,1033,0500000US01033,"Colbert County, Alabama",54762,3108,11370,10914
17,1035,0500000US01035,"Conecuh County, Alabama",12277,652,2550,2762
18,1037,0500000US01037,"Coosa County, Alabama",10715,488,1777,2481
19,1039,0500000US01039,"Covington County, Alabama",36986,2203,8089,7790
20,1041,0500000US01041,"Crenshaw County, Alabama",13824,798,3160,2629
21,1043,0500000US01043,"Cullman County, Alabama",83442,5162,18757,15446
22,1045,0500000US01045,"Dale County, Alabama",48956,3268,11247,8270
23,1047,0500000US01047,"Dallas County, Alabama",38310,2335,9121,6921
24,1049,0500000US01049,"DeKalb County, Alabama",71385,4237,17188,12322
25,1051,0500000US01051,"Elmore County, Alabama",81887,4713,18211,12400
26,1053,0500000US01053,"Escambia County, Alabama",36748,2187,8219,6596
27,1055,0500000US01055,"Etowah County, Alabama",102501,5902,21997,19487
28,1057,0500000US01057,"Fayette County, Alabama",16433,921,3472,3472
29,1059,0500000US01059,"Franklin County, Alabama",31363,2084,7695,5296
30,1061,0500000US01061,"Geneva County, Alabama",26314,1422,5768,5341
31,1063,0500000US01063,"Greene County, Alabama",8233,475,1825,1837
32,1065,0500000US01065,"Hale County, Alabama",14726,979,3394,2829
33,1067,0500000US01067,"Henry County, Alabama",17209,915,3547,3910
34,1069,0500000US01069,"Houston County, Alabama",104722,6350,24120,18639
35,1071,0500000US01071,"Jackson County, Alabama",51736,2776,10806,10373
36,1073,0500000US01073,"Jefferson County, Alabama",659300,41882,150071,104547
37,1075,0500000US01075,"Lamar County, Alabama",13844,743,2961,2998
38,1077,0500000US01077,"Lauderdale County, Alabama",92387,4734,18168,18563
39,1079,0500000US01079,"Lawrence County, Alabama",32957,1810,7115,6151
40,1081,0500000US01081,"Lee County, Alabama",163941,9629,34893,19481
41,1083,0500000US01083,"Limestone County, Alabama",96174,5393,21696,14608
42,1085,0500000US01085,"Lowndes County, Alabama",9974,614,2256,1880
43,1087,0500000US01087,"Macon County, Alabama",18439,855,3118,3756
44,1089,0500000US01089,"Madison County, Alabama",366519,21403,79966,55125
45,1091,0500000US01091,"Marengo County, Alabama",19066,1209,4335,3737
46,1093,0500000US01093,"Marion County, Alabama",29763,1597,6183,6321
47,1095,0500000US01095,"Marshall County, Alabama",96109,6769,23936,16375
