GEO_ID,NAME,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Born in state of residence,Margin of Error!!Total!!Born in state of residence,Estimate!!Total!!Born in state of residence!!Less than high school graduate,Margin of Error!!Total!!Born in state of residence!!Less than high school graduate,Estimate!!Total!!Born in state of residence!!High school graduate (includes equivalency),Margin of Error!!Total!!Born in state of residence!!High school graduate (includes equivalency),Estimate!!Total!!Born in state of residence!!Some college or associate's degree,Margin of Error!!Total!!Born in state of residence!!Some college or associate's degree,Estimate!!Total!!Born in state of residence!!Bachelor's degree,Margin of Error!!Total!!Born in state of residence!!Bachelor's degree,Estimate!!Total!!Born in state of residence!!Graduate or professional degree,Margin of Error!!Total!!Born in state of residence!!Graduate or professional degree,Estimate!!Total!!Born in other state in the United States,Margin of Error!!Total!!Born in other state in the United States,Estimate!!Total!!Born in other state in the United States!!Less than high school graduate,Margin of Error!!Total!!Born in other state in the United States!!Less than high school graduate,Estimate!!Total!!Born in other state in the United States!!High school graduate (includes equivalency),Margin of Error!!Total!!Born in other state in the United States!!High school graduate (includes equivalency),Estimate!!Total!!Born in other state in the United States!!Some college or associate's degree,Margin of Error!!Total!!Born in other state in the United States!!Some college or associate's degree,Estimate!!Total!!Born in other state in the United States!!Bachelor's degree,Margin of Error!!Total!!Born in other state in the United States!!Bachelor's degree,Estimate!!Total!!Born in other state in the United States!!Graduate or professional degree,Margin of Error!!Total!!Born in other state in the United States!!Graduate or professional degree,Estimate!!Total!!Native; born outside the United States,Margin of Error!!Total!!Native; born outside the United States,Estimate!!Total!!Native; born outside the United States!!Less than high school graduate,Margin of Error!!Total!!Native; born outside the United States!!Less than high school graduate,Estimate!!Total!!Native; born outside the United States!!High school graduate (includes equivalency),Margin of Error!!Total!!Native; born outside the United States!!High school graduate (includes equivalency),Estimate!!Total!!Native; born outside the United States!!Some college or associate's degree,Margin of Error!!Total!!Native; born outside the United States!!Some college or associate's degree,Estimate!!Total!!Native; born outside the United States!!Bachelor's degree,Margin of Error!!Total!!Native; born outside the United States!!Bachelor's degree,Estimate!!Total!!Native; born outside the United States!!Graduate or professional degree,Margin of Error!!Total!!Native; born outside the United States!!Graduate or professional degree,Estimate!!Total!!Foreign born,Margin of Error!!Total!!Foreign born,Estimate!!Total!!Foreign born!!Less than high school graduate,Margin of Error!!Total!!Foreign born!!Less than high school graduate,Estimate!!Total!!Foreign born!!High school graduate (includes equivalency),Margin of Error!!Total!!Foreign born!!High school graduate (includes equivalency),Estimate!!Total!!Foreign born!!Some college or associate's degree,Margin of Error!!Total!!Foreign born!!Some college or associate's degree,Estimate!!Total!!Foreign born!!Bachelor's degree,Margin of Error!!Total!!Foreign born!!Bachelor's degree,Estimate!!Total!!Foreign born!!Graduate or professional degree,Margin of Error!!Total!!Foreign born!!Graduate or professional degree
1400000US17031823705,"Census Tract 8237.05, Cook County, Illinois",3255,285,351,168,961,204,1076,247,649,174,218,89,1958,332,181,131,497,137,753,192,392,152,135,72,242,104,0,11,57,43,80,45,61,62,44,34,45,49,31,46,0,11,0,11,14,20,0,11,1010,248,139,86,407,149,243,151,182,105,39,31
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",2456,249,300,150,768,171,656,186,375,116,357,136,1252,234,51,38,462,163,416,142,145,84,178,80,191,81,0,11,25,29,17,24,83,64,66,35,88,73,0,11,70,64,11,17,0,11,7,11,925,338,249,138,211,118,212,123,147,101,106,105
1400000US17031071700,"Census Tract 717, Cook County, Illinois",1245,116,4,7,81,45,160,77,564,106,436,77,493,96,4,7,47,43,86,60,227,65,129,53,501,100,0,11,22,18,65,42,200,70,214,59,17,16,0,11,0,11,0,11,8,10,9,13,234,89,0,11,12,12,9,8,129,48,84,53
1400000US17031826901,"Census Tract 8269.01, Cook County, Illinois",1066,166,225,99,486,98,304,99,38,32,13,13,671,134,111,62,325,91,191,81,38,32,6,9,239,84,63,36,95,54,74,42,0,11,7,10,8,13,0,11,0,11,8,13,0,11,0,11,148,91,51,50,66,53,31,47,0,11,0,11
1400000US17031817500,"Census Tract 8175, Cook County, Illinois",2398,199,455,139,808,186,926,141,154,71,55,43,1349,190,125,79,404,145,700,127,74,61,46,40,703,141,209,104,239,91,216,75,39,39,0,11,130,105,19,21,101,85,10,16,0,11,0,11,216,117,102,76,64,57,0,11,41,29,9,14
1400000US17031817900,"Census Tract 8179, Cook County, Illinois",4491,337,538,204,1404,445,1827,303,516,232,206,115,2991,361,196,134,952,374,1349,291,394,210,100,87,1213,306,297,220,392,152,351,194,97,84,76,66,39,55,4,9,35,54,0,15,0,15,0,15,248,130,41,63,25,30,127,121,25,42,30,38
1400000US17031826303,"Census Tract 8263.03, Cook County, Illinois",2936,271,259,172,811,207,1239,235,410,123,217,93,2082,276,199,141,604,172,837,213,314,108,128,69,675,166,60,40,186,90,269,112,86,54,74,56,0,11,0,11,0,11,0,11,0,11,0,11,179,147,0,11,21,25,133,136,10,16,15,17
1400000US17031812900,"Census Tract 8129, Cook County, Illinois",3024,187,59,53,202,88,470,119,1045,119,1248,145,1647,189,29,42,67,44,370,116,535,114,646,112,1134,172,21,28,125,78,82,47,427,108,479,101,17,20,0,11,0,11,0,11,17,20,0,11,226,91,9,14,10,15,18,19,66,52,123,68
1400000US17031160300,"Census Tract 1603, Cook County, Illinois",3053,245,214,110,574,157,823,217,929,189,513,150,1258,200,78,81,305,127,329,115,323,105,223,81,556,154,17,31,29,27,45,49,345,104,120,69,50,45,24,38,0,11,13,18,13,17,0,11,1189,239,95,57,240,101,436,159,248,105,170,98
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",3529,299,356,162,583,121,582,132,1291,199,717,166,1175,168,76,52,194,73,292,90,385,135,228,80,469,146,10,15,17,18,33,41,282,122,127,47,77,58,0,15,0,15,22,32,47,45,8,12,1808,300,270,157,372,111,235,72,577,131,354,129
1400000US17031050700,"Census Tract 507, Cook County, Illinois",1137,102,35,27,64,37,113,51,466,68,459,73,440,89,24,25,36,30,62,35,197,57,121,40,618,87,2,5,20,18,51,41,240,55,305,64,17,14,0,11,0,11,0,11,6,9,11,11,62,32,9,10,8,12,0,11,23,18,22,16
1400000US17031824113,"Census Tract 8241.13, Cook County, Illinois",4909,425,541,255,1105,305,1176,287,1354,221,733,202,2712,440,127,94,614,190,765,234,700,201,506,164,401,167,15,24,58,46,80,74,110,89,138,85,42,39,0,15,19,29,12,20,11,19,0,15,1754,484,399,223,414,233,319,206,533,186,89,73
1400000US17031671400,"Census Tract 6714, Cook County, Illinois",980,224,246,111,501,162,203,95,27,26,3,9,547,163,122,88,271,118,138,71,13,16,3,9,392,120,124,78,189,79,65,56,14,22,0,11,14,22,0,11,14,22,0,11,0,11,0,11,27,31,0,11,27,31,0,11,0,11,0,11
1400000US17031070700,"Census Tract 707, Cook County, Illinois",2932,259,97,70,272,119,291,123,1380,209,892,171,1391,276,38,47,203,112,143,76,718,203,289,111,1121,208,0,11,25,39,64,45,539,130,493,140,72,44,15,20,13,19,21,32,13,20,10,16,348,106,44,45,31,25,63,44,110,54,100,55
1400000US17031805112,"Census Tract 8051.12, Cook County, Illinois",2431,231,475,177,709,168,579,145,481,168,187,75,940,197,66,49,281,84,330,123,192,84,71,40,109,59,16,17,39,36,26,31,21,26,7,11,38,28,16,18,0,11,16,18,6,10,0,11,1344,231,377,160,389,134,207,93,262,137,109,67
1400000US17031804607,"Census Tract 8046.07, Cook County, Illinois",5072,331,219,93,1118,258,1671,297,1274,242,790,233,2842,379,36,34,751,236,979,218,666,200,410,137,949,284,59,48,181,148,302,167,257,115,150,90,37,43,0,15,0,15,16,25,21,34,0,15,1244,248,124,104,186,97,374,164,330,127,230,110
1400000US17031828601,"Census Tract 8286.01, Cook County, Illinois",2749,174,132,75,551,164,885,148,713,151,468,118,1925,169,19,22,435,127,652,131,521,132,298,75,595,141,25,21,107,77,175,76,145,59,143,72,9,14,0,11,0,11,0,11,9,14,0,11,220,125,88,68,9,15,58,53,38,43,27,23
1400000US17031812302,"Census Tract 8123.02, Cook County, Illinois",1960,202,118,69,214,110,328,97,599,144,701,127,863,175,27,24,89,68,161,71,259,78,327,99,776,164,50,42,93,61,109,49,221,112,303,99,59,41,0,11,5,10,0,11,25,25,29,28,262,106,41,33,27,29,58,40,94,47,42,35
1400000US17031813100,"Census Tract 8131, Cook County, Illinois",3179,179,125,55,216,87,853,189,978,153,1007,184,1704,208,18,19,141,62,581,171,553,115,411,116,1115,167,74,40,67,56,193,98,328,95,453,123,62,39,16,22,0,11,10,15,0,11,36,30,298,112,17,22,8,13,69,48,97,59,107,70
1400000US17031060800,"Census Tract 608, Cook County, Illinois",4252,272,26,32,200,117,586,198,2060,287,1380,244,1373,237,16,25,60,48,225,139,746,192,326,141,1966,282,0,15,81,73,197,119,1033,232,655,190,57,65,0,15,0,15,0,15,21,32,36,56,856,209,10,16,59,69,164,75,260,101,363,156
1400000US17031812400,"Census Tract 8124, Cook County, Illinois",2176,126,27,38,125,80,255,94,622,91,1147,125,1045,132,0,11,71,71,168,71,330,79,476,97,873,122,27,38,45,33,41,33,218,62,542,110,34,45,0,11,0,11,27,43,0,11,7,12,224,84,0,11,9,15,19,19,74,45,122,54
1400000US17031280100,"Census Tract 2801, Cook County, Illinois",5814,439,0,15,77,70,421,119,2842,448,2474,309,1817,283,0,15,0,15,162,90,833,191,822,187,2868,411,0,15,44,45,164,81,1529,352,1131,196,150,139,0,15,0,15,0,15,99,131,51,49,979,236,0,15,33,53,95,64,381,173,470,151
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",1132,183,419,117,328,108,264,78,73,52,48,31,367,121,19,22,123,63,148,45,49,38,28,20,36,40,0,11,8,13,9,14,11,19,8,11,135,58,56,43,65,37,8,13,0,11,6,10,594,130,344,115,132,74,99,57,13,14,6,8
1400000US17031812802,"Census Tract 8128.02, Cook County, Illinois",1928,158,67,47,107,52,373,118,619,126,762,122,1055,167,36,28,65,44,262,105,408,109,284,95,632,109,21,23,32,21,99,51,168,55,312,97,22,23,0,11,10,14,12,19,0,11,0,11,219,92,10,15,0,11,0,11,43,38,166,79
1400000US17031813302,"Census Tract 8133.02, Cook County, Illinois",1814,225,600,116,707,173,360,97,135,69,12,17,538,141,80,58,201,70,193,78,64,46,0,11,54,32,7,9,38,23,9,13,0,11,0,11,27,25,5,8,12,19,10,16,0,11,0,11,1195,174,508,121,456,139,148,62,71,51,12,17
1400000US17031808100,"Census Tract 8081, Cook County, Illinois",3305,187,365,117,1025,199,891,167,729,182,295,117,1988,244,140,72,680,164,586,128,363,85,219,113,398,118,63,38,106,54,118,74,64,52,47,42,84,71,7,15,0,11,42,54,26,28,9,15,835,238,155,79,239,92,145,76,276,157,20,21
1400000US17031411100,"Census Tract 4111, Cook County, Illinois",1297,101,26,19,13,16,44,25,215,43,999,87,292,69,12,13,10,15,19,17,43,19,208,55,646,88,0,11,3,5,13,12,110,37,520,84,16,13,0,11,0,11,0,11,5,7,11,12,343,67,14,14,0,11,12,12,57,26,260,63
1400000US17031381400,"Census Tract 3814, Cook County, Illinois",912,127,91,57,250,85,356,121,133,69,82,54,717,116,55,46,208,82,282,104,105,68,67,50,159,65,36,38,36,26,74,49,7,12,6,10,6,9,0,11,6,9,0,11,0,11,0,11,30,35,0,11,0,11,0,11,21,33,9,12
1400000US17031809000,"Census Tract 8090, Cook County, Illinois",2844,174,42,42,212,76,299,91,976,151,1315,152,1193,178,16,22,143,67,135,62,411,106,488,114,1227,157,11,24,29,36,102,53,426,106,659,121,35,28,0,11,0,11,0,11,22,24,13,15,389,103,15,18,40,34,62,37,117,74,155,59
1400000US17031190702,"Census Tract 1907.02, Cook County, Illinois",2814,306,1195,261,866,214,471,158,186,109,96,57,683,178,77,58,285,122,190,99,73,75,58,47,156,87,54,52,13,21,54,44,35,30,0,11,184,94,78,51,51,48,36,32,0,11,19,29,1791,303,986,236,517,153,191,98,78,68,19,23
1400000US17031090200,"Census Tract 902, Cook County, Illinois",4973,323,167,104,1006,259,1222,253,1331,283,1247,270,3723,367,82,57,767,229,1059,241,1076,245,739,194,673,218,0,15,92,62,60,40,160,99,361,181,75,57,0,15,0,15,43,49,11,25,21,32,502,190,85,92,147,91,60,54,84,55,126,70
1400000US17031460400,"Census Tract 4604, Cook County, Illinois",2221,331,242,119,843,205,784,195,270,89,82,54,1425,292,121,79,507,170,554,192,214,80,29,31,705,197,121,75,310,116,182,95,39,32,53,38,0,11,0,11,0,11,0,11,0,11,0,11,91,103,0,11,26,42,48,54,17,28,0,11
1400000US17031804902,"Census Tract 8049.02, Cook County, Illinois",3916,281,389,168,677,213,1038,190,1136,294,676,204,2008,299,87,73,459,161,558,144,564,188,340,118,392,147,0,15,47,52,136,73,158,106,51,44,13,22,0,15,0,15,0,15,13,22,0,15,1503,318,302,147,171,98,344,128,401,188,285,138
1400000US17031350100,"Census Tract 3501, Cook County, Illinois",1903,211,17,19,126,52,434,159,617,184,709,160,578,137,9,13,34,31,219,105,185,112,131,60,331,95,8,12,70,40,88,50,55,41,110,54,61,69,0,11,0,11,43,65,10,16,8,12,933,211,0,11,22,24,84,60,367,156,460,144
1400000US17031230900,"Census Tract 2309, Cook County, Illinois",3268,268,691,181,754,205,844,181,679,191,300,111,1106,199,115,78,214,102,402,142,244,110,131,67,649,192,15,33,62,51,214,95,279,103,79,69,552,145,254,83,204,99,60,40,26,51,8,12,961,261,307,145,274,153,168,71,130,96,82,46
1400000US17031580502,"Census Tract 5805.02, Cook County, Illinois",3537,392,1290,229,1345,263,548,145,256,118,98,66,950,257,182,109,436,180,172,87,140,98,20,32,110,79,30,33,20,27,22,28,0,15,38,47,67,66,0,15,54,55,13,20,0,15,0,15,2410,335,1078,213,835,205,341,119,116,67,40,37
