GEO_ID,NAME,S1602_C01_001E,S1602_C01_001M,S1602_C02_001E,S1602_C02_001M,S1602_C03_001E,S1602_C03_001M,S1602_C04_001E,S1602_C04_001M,S1602_C01_002E,S1602_C01_002M,S1602_C02_002E,S1602_C02_002M,S1602_C03_002E,S1602_C03_002M,S1602_C04_002E,S1602_C04_002M,S1602_C01_003E,S1602_C01_003M,S1602_C02_003E,S1602_C02_003M,S1602_C03_003E,S1602_C03_003M,S1602_C04_003E,S1602_C04_003M,S1602_C01_004E,S1602_C01_004M,S1602_C02_004E,S1602_C02_004M,S1602_C03_004E,S1602_C03_004M,S1602_C04_004E,S1602_C04_004M,S1602_C01_005E,S1602_C01_005M,S1602_C02_005E,S1602_C02_005M,S1602_C03_005E,S1602_C03_005M,S1602_C04_005E,S1602_C04_005M
id,Geographic Area Name,Estimate!!Total!!All households,Margin of Error!!Total MOE!!All households,Estimate!!Percent!!All households,Margin of Error!!Percent MOE!!All households,Estimate!!Limited English-speaking households!!All households,Margin of Error!!Limited English-speaking households MOE!!All households,Estimate!!Percent limited English-speaking households!!All households,Margin of Error!!Percent limited English-speaking households MOE!!All households,Estimate!!Total!!All households!!Households speaking --!!Spanish,Margin of Error!!Total MOE!!All households!!Households speaking --!!Spanish,Estimate!!Percent!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent MOE!!All households!!Households speaking --!!Spanish,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Spanish,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Spanish,Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Total MOE!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Total MOE!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent MOE!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Total!!All households!!Households speaking --!!Other languages,Margin of Error!!Total MOE!!All households!!Households speaking --!!Other languages,Estimate!!Percent!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other languages
1400000US17031010100,"Census Tract 101, Cook County, Illinois",2316,181,(X),(X),112,105,4.8,4.5,275,119,11.9,5.1,44,70,16,23.3,145,104,6.3,4.4,0,11,0,17.2,28,32,1.2,1.4,0,11,0,51.6,135,108,5.8,4.6,68,81,50.4,45.6
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",2688,156,(X),(X),355,171,13.2,6.5,510,178,19,6.2,200,117,39.2,18.2,257,134,9.6,4.9,77,65,30,21,43,45,1.6,1.7,0,15,0,41.6,159,101,5.9,3.8,78,92,49.1,46.1
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",1102,72,(X),(X),68,46,6.2,4.1,213,67,19.3,6,18,22,8.5,10.6,128,55,11.6,5,50,39,39.1,23.8,37,25,3.4,2.3,0,11,0,44.8,55,36,5,3.2,0,11,0,36.7
1400000US17031010300,"Census Tract 103, Cook County, Illinois",3037,188,(X),(X),248,140,8.2,4.6,513,196,16.9,6.5,106,107,20.7,17.9,216,113,7.1,3.7,66,59,30.6,22.3,54,51,1.8,1.7,0,15,0,37,206,142,6.8,4.6,76,77,36.9,32.7
1400000US17031010400,"Census Tract 104, Cook County, Illinois",1938,160,(X),(X),82,87,4.2,4.5,98,85,5.1,4.3,0,15,0,24.1,76,49,3.9,2.6,16,24,21.1,29.1,76,62,3.9,3.2,16,26,21.1,32.5,91,94,4.7,4.8,50,81,54.9,54.9
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",2425,143,(X),(X),219,84,9,3.4,227,105,9.4,4.3,0,11,0,11.4,408,116,16.8,4.6,203,79,49.8,19,77,70,3.2,2.9,0,11,0,29.2,235,87,9.7,3.7,16,28,6.8,12.1
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",1508,134,(X),(X),155,90,10.3,5.9,102,55,6.8,3.7,29,34,28.4,26.9,190,95,12.6,6.3,78,76,41.1,28.1,73,46,4.8,3,14,23,19.2,27.7,124,71,8.2,4.5,34,37,27.4,25.9
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",968,105,(X),(X),277,80,28.6,7.5,57,42,5.9,4.3,20,33,35.1,47.2,176,83,18.2,8.3,115,65,65.3,20.1,52,32,5.4,3.2,23,20,44.2,34.5,140,66,14.5,6.6,119,65,85,17.6
1400000US17031010600,"Census Tract 106, Cook County, Illinois",2875,202,(X),(X),301,158,10.5,5.4,484,148,16.8,4.9,180,135,37.2,24.8,345,148,12,5.1,66,87,19.1,22,65,51,2.3,1.8,34,38,52.3,43.3,75,54,2.6,1.9,21,34,28,43.3
