"GEO_ID","NAME","B06009_001E","B06009_001M","B06009_002E","B06009_002M","B06009_003E","B06009_003M","B06009_004E","B06009_004M","B06009_005E","B06009_005M","B06009_006E","B06009_006M","B06009_007E","B06009_007M","B06009_008E","B06009_008M","B06009_009E","B06009_009M","B06009_010E","B06009_010M","B06009_011E","B06009_011M","B06009_012E","B06009_012M","B06009_013E","B06009_013M","B06009_014E","B06009_014M","B06009_015E","B06009_015M","B06009_016E","B06009_016M","B06009_017E","B06009_017M","B06009_018E","B06009_018M","B06009_019E","B06009_019M","B06009_020E","B06009_020M","B06009_021E","B06009_021M","B06009_022E","B06009_022M","B06009_023E","B06009_023M","B06009_024E","B06009_024M","B06009_025E","B06009_025M","B06009_026E","B06009_026M","B06009_027E","B06009_027M","B06009_028E","B06009_028M","B06009_029E","B06009_029M","B06009_030E","B06009_030M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Born in state of residence","Margin of Error!!Total!!Born in state of residence","Estimate!!Total!!Born in state of residence!!Less than high school graduate","Margin of Error!!Total!!Born in state of residence!!Less than high school graduate","Estimate!!Total!!Born in state of residence!!High school graduate (includes equivalency)","Margin of Error!!Total!!Born in state of residence!!High school graduate (includes equivalency)","Estimate!!Total!!Born in state of residence!!Some college or associate's degree","Margin of Error!!Total!!Born in state of residence!!Some college or associate's degree","Estimate!!Total!!Born in state of residence!!Bachelor's degree","Margin of Error!!Total!!Born in state of residence!!Bachelor's degree","Estimate!!Total!!Born in state of residence!!Graduate or professional degree","Margin of Error!!Total!!Born in state of residence!!Graduate or professional degree","Estimate!!Total!!Born in other state in the United States","Margin of Error!!Total!!Born in other state in the United States","Estimate!!Total!!Born in other state in the United States!!Less than high school graduate","Margin of Error!!Total!!Born in other state in the United States!!Less than high school graduate","Estimate!!Total!!Born in other state in the United States!!High school graduate (includes equivalency)","Margin of Error!!Total!!Born in other state in the United States!!High school graduate (includes equivalency)","Estimate!!Total!!Born in other state in the United States!!Some college or associate's degree","Margin of Error!!Total!!Born in other state in the United States!!Some college or associate's degree","Estimate!!Total!!Born in other state in the United States!!Bachelor's degree","Margin of Error!!Total!!Born in other state in the United States!!Bachelor's degree","Estimate!!Total!!Born in other state in the United States!!Graduate or professional degree","Margin of Error!!Total!!Born in other state in the United States!!Graduate or professional degree","Estimate!!Total!!Native; born outside the United States","Margin of Error!!Total!!Native; born outside the United States","Estimate!!Total!!Native; born outside the United States!!Less than high school graduate","Margin of Error!!Total!!Native; born outside the United States!!Less than high school graduate","Estimate!!Total!!Native; born outside the United States!!High school graduate (includes equivalency)","Margin of Error!!Total!!Native; born outside the United States!!High school graduate (includes equivalency)","Estimate!!Total!!Native; born outside the United States!!Some college or associate's degree","Margin of Error!!Total!!Native; born outside the United States!!Some college or associate's degree","Estimate!!Total!!Native; born outside the United States!!Bachelor's degree","Margin of Error!!Total!!Native; born outside the United States!!Bachelor's degree","Estimate!!Total!!Native; born outside the United States!!Graduate or professional degree","Margin of Error!!Total!!Native; born outside the United States!!Graduate or professional degree","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Less than high school graduate","Margin of Error!!Total!!Foreign born!!Less than high school graduate","Estimate!!Total!!Foreign born!!High school graduate (includes equivalency)","Margin of Error!!Total!!Foreign born!!High school graduate (includes equivalency)","Estimate!!Total!!Foreign born!!Some college or associate's degree","Margin of Error!!Total!!Foreign born!!Some college or associate's degree","Estimate!!Total!!Foreign born!!Bachelor's degree","Margin of Error!!Total!!Foreign born!!Bachelor's degree","Estimate!!Total!!Foreign born!!Graduate or professional degree","Margin of Error!!Total!!Foreign born!!Graduate or professional degree"
"0500000US28151","Washington County, Mississippi","30308","54","6523","471","9254","602","8835","498","3476","368","2220","302","25322","385","5474","430","7970","548","7417","472","2780","327","1681","276","4377","394","764","201","1191","189","1341","239","638","140","443","94","56","34","3","8","0","27","22","21","29","24","2","3","553","104","282","117","93","70","55","58","29","21","94","51"
"0500000US28111","Perry County, Mississippi","8198","79","1536","237","3290","313","2474","280","694","199","204","71","6545","249","1142","190","2716","321","1918","284","613","180","156","59","1589","227","381","142","561","126","548","125","64","42","35","31","34","31","0","20","0","20","8","13","13","23","13","17","30","28","13","20","13","17","0","20","4","9","0","20"
"0500000US28019","Choctaw County, Mississippi","5799","60","1134","195","2201","242","1440","199","625","134","399","119","4832","186","923","192","1828","249","1238","193","538","112","305","99","901","168","200","119","334","100","202","71","86","62","79","35","37","33","9","15","27","27","0","18","1","3","0","18","29","32","2","5","12","17","0","18","0","18","15","24"
"0500000US28057","Itawamba County, Mississippi","15684","113","3375","397","4743","409","5457","380","1337","249","772","194","10784","456","2167","310","2992","371","4133","353","911","239","581","170","4683","447","1118","275","1720","250","1276","253","412","113","157","79","9","14","0","24","0","24","0","24","0","24","9","14","208","103","90","77","31","36","48","54","14","23","25","28"
"0500000US28015","Carroll County, Mississippi","7248","181","1324","298","2422","358","2451","349","692","173","359","141","6000","373","1217","276","2089","338","1903","344","473","162","318","135","1221","344","107","85","306","171","548","235","219","115","41","41","0","20","0","20","0","20","0","20","0","20","0","20","27","35","0","20","27","35","0","20","0","20","0","20"
"0500000US28043","Grenada County, Mississippi","14357","*****","2873","400","3963","398","4699","449","1784","299","1038","266","11802","414","2480","356","3294","394","3881","444","1492","282","655","190","2440","403","377","203","658","186","792","206","253","121","360","175","45","41","0","24","11","20","18","31","16","26","0","24","70","58","16","25","0","24","8","16","23","37","23","37"
"0500000US28063","Jefferson County, Mississippi","5006","155","1261","320","1808","270","1186","251","272","126","479","181","4303","292","1199","318","1615","287","1024","262","183","119","282","111","650","276","55","40","149","105","160","131","89","89","197","144","7","14","7","14","0","18","0","18","0","18","0","18","46","54","0","18","44","40","2","29","0","18","0","18"
"0500000US28041","Greene County, Mississippi","9732","130","2231","287","3463","377","3201","381","612","230","225","104","6744","378","1692","225","2499","295","1977","325","449","211","127","79","2758","370","532","147","893","232","1106","230","147","76","80","66","48","35","0","20","13","26","21","21","2","7","12","15","182","121","7","11","58","69","97","109","14","18","6","14"
"0500000US28093","Marshall County, Mississippi","24521","175","4592","544","9831","697","6736","686","2454","423","908","255","12680","625","2859","493","5302","557","2770","402","1286","330","463","201","11248","626","1551","390","4216","524","3894","516","1163","281","424","150","111","79","34","48","45","50","20","29","0","27","12","19","482","199","148","108","268","133","52","67","5","7","9","16"
"0500000US28119","Quitman County, Mississippi","4930","43","1447","177","1489","196","1433","170","378","89","183","88","4279","121","1296","164","1254","181","1231","151","345","88","153","84","605","118","121","51","235","78","191","64","33","22","25","23","9","10","5","8","0","18","4","7","0","18","0","18","37","28","25","22","0","18","7","12","0","18","5","8"
"0500000US28011","Bolivar County, Mississippi","20837","110","4804","445","5141","458","5931","440","2978","356","1983","261","17920","297","4380","429","4519","420","5069","398","2516","351","1436","210","2478","296","335","101","533","145","780","173","397","117","433","167","33","44","6","10","0","27","12","25","15","29","0","27","406","155","83","87","89","79","70","79","50","37","114","80"
"0500000US28073","Lamar County, Mississippi","40319","136","3724","563","9460","774","12933","820","8948","920","5254","536","25872","1037","2595","467","6580","780","8671","746","5116","688","2910","341","12792","1010","894","287","2717","375","3812","461","3538","612","1831","351","352","151","15","24","26","30","138","92","43","53","130","97","1303","350","220","153","137","141","312","198","251","148","383","229"
"0500000US28081","Lee County, Mississippi","56010","115","9093","735","14003","656","19547","890","8570","600","4797","507","39135","759","6645","688","10006","605","13740","803","5585","455","3159","415","15110","777","1978","301","3700","367","5375","510","2575","324","1482","239","361","141","7","10","89","73","174","111","65","42","26","24","1404","295","463","174","208","107","258","121","345","233","130","75"
"0500000US28113","Pike County, Mississippi","25520","104","4670","506","9095","632","7795","651","2600","327","1360","307","18220","572","3414","402","6674","548","5510","550","1648","281","974","262","6991","572","1186","303","2276","345","2257","379","914","209","358","125","94","61","4","9","55","55","20","31","0","27","15","18","215","141","66","56","90","96","8","9","38","39","13","29"
"0500000US28135","Tallahatchie County, Mississippi","9956","185","3094","417","3148","327","2581","307","761","179","372","126","6431","312","1548","234","1987","317","1946","272","669","164","281","108","2788","353","1062","271","964","277","603","158","84","60","75","56","51","30","22","20","19","17","10","15","0","20","0","20","686","201","462","181","178","116","22","21","8","16","16","25"
"0500000US28129","Smith County, Mississippi","10916","151","2013","283","4582","362","2957","333","730","179","634","170","9099","418","1712","275","3879","330","2466","312","540","142","502","162","1675","339","231","112","683","228","442","128","190","88","129","100","40","32","0","20","0","20","37","33","0","20","3","7","102","121","70","103","20","41","12","16","0","20","0","20"
"0500000US28131","Stone County, Mississippi","11911","359","2351","391","4056","523","3780","516","1201","301","523","186","7298","505","1628","308","2279","401","2402","431","723","252","266","123","4394","525","688","281","1677","380","1362","297","455","139","212","98","89","86","0","20","68","83","0","20","16","27","5","8","130","83","35","45","32","37","16","23","7","11","40","52"
"0500000US28149","Warren County, Mississippi","31568","178","4044","498","9855","592","10316","638","4416","432","2937","374","23434","564","3527","461","7509","611","7659","578","2885","359","1854","329","7419","556","404","142","2168","360","2460","368","1443","272","944","243","76","54","0","27","0","27","19","25","35","42","22","26","639","158","113","75","178","103","178","111","53","44","117","95"
"0500000US28023","Clarke County, Mississippi","11016","66","2091","277","4010","360","3624","335","871","169","420","114","8918","234","1739","258","3264","325","2983","326","640","121","292","85","2033","227","352","122","728","153","641","145","224","99","88","63","25","31","0","20","18","29","0","20","7","10","0","20","40","36","0","20","0","20","0","20","0","20","40","36"
"0500000US28069","Kemper County, Mississippi","6824","175","1140","278","2560","388","2372","373","461","228","291","132","5811","308","1108","270","2194","371","1843","352","405","226","261","114","1006","261","32","24","366","187","522","150","56","37","30","42","7","13","0","20","0","20","7","13","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20"
"0500000US28097","Montgomery County, Mississippi","7190","136","1475","298","2464","292","1787","252","1021","209","443","141","6139","249","1145","250","2145","281","1610","241","835","215","404","129","955","218","296","143","305","108","177","81","138","86","39","42","17","20","8","13","9","16","0","20","0","20","0","20","79","83","26","39","5","12","0","20","48","58","0","20"
