"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C02_001E","S1602_C02_001M","S1602_C03_001E","S1602_C03_001M","S1602_C04_001E","S1602_C04_001M","S1602_C01_002E","S1602_C01_002M","S1602_C02_002E","S1602_C02_002M","S1602_C03_002E","S1602_C03_002M","S1602_C04_002E","S1602_C04_002M","S1602_C01_003E","S1602_C01_003M","S1602_C02_003E","S1602_C02_003M","S1602_C03_003E","S1602_C03_003M","S1602_C04_003E","S1602_C04_003M","S1602_C01_004E","S1602_C01_004M","S1602_C02_004E","S1602_C02_004M","S1602_C03_004E","S1602_C03_004M","S1602_C04_004E","S1602_C04_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_005E","S1602_C02_005M","S1602_C03_005E","S1602_C03_005M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total MOE!!All households","Estimate!!Percent!!All households","Margin of Error!!Percent MOE!!All households","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households MOE!!All households","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households MOE!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total MOE!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other languages"
"1400000US34001000100","Census Tract 1, Atlantic County, New Jersey","751","63","(X)","(X)","100","48","13.3","6.3","210","63","28.0","7.8","47","39","22.4","16.9","103","43","13.7","5.8","47","36","45.6","24.3","21","19","2.8","2.5","6","10","28.6","42.5","0","12","0.0","4.2","0","12","-","**"
"1400000US34001000200","Census Tract 2, Atlantic County, New Jersey","1336","154","(X)","(X)","256","105","19.2","7.6","264","82","19.8","6.2","142","83","53.8","25.5","211","81","15.8","5.9","72","65","34.1","22.0","65","37","4.9","2.7","10","15","15.4","21.2","32","50","2.4","3.7","32","50","100.0","52.4"
"1400000US34001000300","Census Tract 3, Atlantic County, New Jersey","1273","108","(X)","(X)","359","107","28.2","7.9","518","111","40.7","8.7","242","94","46.7","14.5","298","110","23.4","7.8","39","32","13.1","9.5","145","67","11.4","5.3","78","55","53.8","25.4","10","15","0.8","1.2","0","12","0.0","93.8"
"1400000US34001000400","Census Tract 4, Atlantic County, New Jersey","1243","154","(X)","(X)","199","71","16.0","5.9","322","111","25.9","7.6","90","50","28.0","16.3","308","94","24.8","7.3","82","46","26.6","13.8","106","69","8.5","5.5","18","23","17.0","27.0","9","16","0.7","1.3","9","16","100.0","98.9"
"1400000US34001000500","Census Tract 5, Atlantic County, New Jersey","875","83","(X)","(X)","225","72","25.7","8.2","396","81","45.3","8.5","130","54","32.8","12.6","94","51","10.7","5.8","34","29","36.2","25.2","176","56","20.1","6.5","61","31","34.7","15.0","0","12","0.0","3.6","0","12","-","**"
"1400000US34001001100","Census Tract 11, Atlantic County, New Jersey","899","98","(X)","(X)","49","37","5.5","4.1","91","54","10.1","5.9","37","34","40.7","28.0","6","9","0.7","1.0","4","7","66.7","66.7","8","11","0.9","1.2","8","11","100.0","100.0","11","16","1.2","1.8","0","12","0.0","89.4"
"1400000US34001001200","Census Tract 12, Atlantic County, New Jersey","1300","131","(X)","(X)","67","58","5.2","4.4","155","93","11.9","7.2","35","41","22.6","26.6","44","50","3.4","3.9","32","46","72.7","46.7","0","12","0.0","2.5","0","12","-","**","0","12","0.0","2.5","0","12","-","**"
"1400000US34001001300","Census Tract 13, Atlantic County, New Jersey","685","85","(X)","(X)","9","14","1.3","2.1","47","29","6.9","3.9","9","14","19.1","27.3","0","12","0.0","4.6","0","12","-","**","4","6","0.6","0.8","0","12","0.0","100.0","8","12","1.2","1.7","0","12","0.0","100.0"
"1400000US34001001400","Census Tract 14, Atlantic County, New Jersey","1441","111","(X)","(X)","245","115","17.0","7.9","390","115","27.1","7.7","152","88","39.0","21.3","30","37","2.1","2.6","0","12","0.0","54.1","40","43","2.8","2.9","33","41","82.5","36.2","82","78","5.7","5.3","60","68","73.2","42.1"
