YEAR,TOTAL_RELEASE
1987,17495362548.0
1988,5680148075.0
1989,4452091324.0
1990,3753465237.0
1991,3496917822.96
1992,3318950504.64
1993,2909276729.72
1994,2365597221.36
1995,2387160808.09
1996,2318409398.65
1997,2281871053.8214197
1998,6728946097.181581
1999,6793943773.91012
2000,6174977465.076311
2001,5119343140.058404
2002,4289782067.241159
2003,3985853445.83413
2004,3733208144.198773
2005,3842195100.639463
2006,3801739639.4340415
2007,3580395800.265521
2008,3401547270.726742
2009,3038737468.6441956
2010,3401823195.5379186
2011,3701652530.050026
2012,3232491920.8602843
2013,3727353563.3042245
2014,3544714287.8107877
2015,2972866487.443933
2016,3134064227.2928247
2017,3541607790.97415
2018,3367991070.3015656
